nom,ville,latitude,longitude,geo_source,geo_precision
Médiathèque,Le Mans,48.002921,0.1919093,nominatim,exact
Médiathèque George Sand,Le Mans,48.0142124,0.2713988,nominatim,exact
Médiathèque Louis Aragon,Le Mans,48.002887,0.1926403,nominatim,exact
Palais des Congrès,Le Mans,47.9997257,0.1922223,nominatim,exact
Parc Expo,Le Mans,48.0073849,0.1967849,nominatim,city
Parc Gabriel Paillereau,Le Mans,48.0073849,0.1967849,nominatim,city
Parc Jean du Bellay,Le Mans,48.0175782,0.2750064,nominatim,exact
Parc Théodore Monod,Le Mans,48.0113046,0.1807363,nominatim,exact
Parc de Tessé,Le Mans,48.0098732,0.2037429,nominatim,exact
Parc de Vaurouzé,Le Mans,48.0073849,0.1967849,nominatim,city
Parc de l'Épine,Le Mans,48.0202902,0.1773929,nominatim,exact
Parc de la mairie,Le Mans,49.3813059,-1.7592861,nominatim,exact
Parc de la résidence autonomie,Le Mans,48.0073849,0.1967849,nominatim,city
Parc des 3 vallées,Le Mans,48.0073849,0.1967849,nominatim,city
Parc des Carmes,Le Mans,48.0073849,0.1967849,nominatim,city
Parc des Touches,Le Mans,48.0073849,0.1967849,nominatim,city
Parc du Gué de Maulny,Le Mans,47.9901934,0.1856633,nominatim,exact
"Parc du Petit Train, rue Pierre Levegh",Le Mans,48.0073849,0.1967849,nominatim,city
Parc du château,Le Mans,48.0100439,0.1993346,nominatim,exact
Parc face au chateau,Le Mans,48.0073849,0.1967849,nominatim,city
Parking Quinconces,Le Mans,48.0073849,0.1967849,nominatim,city
Parking aérien des Quinconces,Le Mans,48.0073849,0.1967849,nominatim,city
Parking rotonde du CROUS,Le Mans,48.0073849,0.1967849,nominatim,city
Parvis de l'Espal,Le Mans,48.0073849,0.1967849,nominatim,city
Parvis de l'espace du Narais,Le Mans,48.0073849,0.1967849,nominatim,city
Parvis de la maison des Arts,Le Mans,48.0073849,0.1967849,nominatim,city
Parvis des Quinconces,Le Mans,48.0073849,0.1967849,nominatim,city
Passerelle des Atlandites,Le Mans,48.0073849,0.1967849,nominatim,city
Pirate Café,Le Mans,48.0073849,0.1967849,nominatim,city
Place Henri IV,Le Mans,47.8276443,0.2725631,nominatim,exact
Place Saint Nicolas,Le Mans,48.0053534,0.1984797,nominatim,exact
Place St Michel,Le Mans,48.0092268,0.1982686,nominatim,exact
Place St Pierre,Le Mans,48.0074358,0.1969396,nominatim,exact
Place d'Alger,Le Mans,48.0020939,0.1942877,nominatim,exact
Place de l'église,Le Mans,48.1186574,0.1827067,nominatim,exact
Place de la Boussinière,Le Mans,48.0135857,0.1898843,nominatim,exact
Place de la Sirène,Le Mans,48.0063251,0.1985369,nominatim,exact
Place de la gare,Le Mans,47.9287945,0.1894404,nominatim,exact
Place de la liberté,Le Mans,49.0538185,-1.169974,nominatim,exact
Place de la mairie,Le Mans,47.9723521,0.0999677,nominatim,exact
Place de la paix,Le Mans,47.9685071,0.1553824,nominatim,exact
Place de la république,Le Mans,48.0041261,0.1964694,nominatim,exact
Place des Quinconces,Le Mans,48.0078156,0.2007998,nominatim,exact
Place des Sablons,Le Mans,47.9911977,0.2228603,nominatim,exact
Place des jacobins,Le Mans,48.0078156,0.2007998,nominatim,exact
Place du Cardinal Grente,Le Mans,48.0098766,0.1983016,nominatim,exact
Place du Jet d'eau,Le Mans,48.0083364,0.1987985,nominatim,exact
Place du marché,Le Mans,47.8783115,0.2272179,nominatim,exact
Place du marché des Sablons,Le Mans,48.0073849,0.1967849,nominatim,city
Plaine de Chaoué,Le Mans,48.0073849,0.1967849,nominatim,city
Plaine de jeux,Le Mans,47.9836843,0.2830817,nominatim,exact
Plaine du Ronceray,Le Mans,47.9710963,0.2078324,nominatim,exact
Plaine du Val’Rhonne,Le Mans,48.0073849,0.1967849,nominatim,city
Plaine du verger,Le Mans,48.0073849,0.1967849,nominatim,city
Plan d'eau,Le Mans,47.9913672,0.2901824,nominatim,exact
Pont romain,Le Mans,48.0192451,0.2794095,nominatim,exact
Port du Mans,Le Mans,47.9340074,0.254032,nominatim,exact
Prairie du chateau,Le Mans,48.0073849,0.1967849,nominatim,city
Prieuré de Mayenne,Le Mans,48.0073849,0.1967849,nominatim,city
Prieuré de Vivoin,Le Mans,48.0073849,0.1967849,nominatim,city
Promenade Newton,Le Mans,47.9871221,0.2127145,nominatim,exact
Pôle culturel,Le Mans,48.0073849,0.1967849,nominatim,city
Quai Louis Blanc,Le Mans,48.0138266,0.1997808,nominatim,exact
R-Volt,Le Mans,48.0029922,0.1946912,nominatim,exact
Restaurant l'Éternel,Le Mans,48.0073849,0.1967849,nominatim,city
Rue Claude Blondeau,Le Mans,48.006675,0.1987696,nominatim,exact
Rue de Belgique Sablons,Le Mans,47.992511,0.2311962,nominatim,exact
Rue de la Piscine,Le Mans,47.8229095,0.2779246,nominatim,exact
Rue des 3 Sonnettes,Le Mans,48.0073849,0.1967849,nominatim,city
Rue du Gué,Le Mans,47.8923238,0.2621007,nominatim,exact
Salle Aimée le Prilleux,Le Mans,48.0073849,0.1967849,nominatim,city
Salle Cattois Roncin,Le Mans,48.0073849,0.1967849,nominatim,city
Salle Chorus,Le Mans,48.0041788,0.1956641,nominatim,approximate
Salle Claircigny,Le Mans,48.01361,0.19331,nominatim,exact
Salle Communale,Le Mans,48.0265349,0.0796582,nominatim,exact
Salle Coppélia,Le Mans,48.0073849,0.1967849,nominatim,city
Salle Edith Piaf,Le Mans,47.910435,0.2526646,nominatim,exact
Salle Georges Brassens,Le Mans,48.0164706,0.2712781,nominatim,exact
