nom,ville,nom_normalise,adresse_numero,adresse_voie,code_postal,latitude,longitude,geo_source,geo_precision,nom_osm,is_generic
Église St. Aldric,Le Mans,eglisestaldric,,Rue d'Isaac,72000,48.0124568,0.2128698,nominatim,exact,Église Saint-Aldric,
EHPAD La reposance,Le Mans,ehpadreposance,4,Rue de l'Épau,72100,47.9939112,0.2220044,nominatim,exact,Ehpad La Reposance,
Entre la place des Jacobins et la place de la République,Le Mans,entreplacejacobinsetplacerepublique,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Épicerie du Pré,Le Mans,epiceriepre,31,Rue du Pré,72000,48.0108167561469,0.194687488953741,manuel,exact,,
EPSM de la Sarthe,Allonnes,epsmsarthe,,Avenue du 19 Mars 1962,72700,47.9592411,0.162224,nominatim,exact,EPSM de la Sarthe,
ESAD TALM,Le Mans,esadtalm,,Place des Thermes,72000,48.0063067,0.1961357,nominatim,exact,,
Espace bis 18 rue St Martin,Le Mans,espacebis18ruestmartin,18,Rue Saint-Martin,72000,48.005421,0.1970424,nominatim,exact,L'espace Bis de la librairie Bulle,
Espace Culturel,La Bazoge,espaceculturel,,,,48.0989559,0.1544523,nominatim,city,La Bazoge,1
Espace culturel L'Orée du Bois,Le Mans,espacecultureloreebois,,Chemin de Beauchene,72650,48.039266,0.1519688,nominatim,exact,Centre Saint-Christophe,
Espace des Rivauderies,Le Mans,espacerivauderies,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Espace du Narais,Saint-Mars-la-Brière,espacenarais,,All. des Châtaigniers,72470,48.0286803211158,0.382182526750326,manuel,exact,,
Espace Faïence,Malicorne,espacefaience,,Rue Victor Hugo,72270,47.813164,-0.0833893,nominatim,exact,Malicorne Espace Faïence,
Espace Henri Salvador,Le Mans,espacehenrisalvador,2,Place Jean-Claude Boulard,72190,48.0250891,0.2056839,nominatim,exact,Espace culturel Henri Salvador,
Espace Ronsard,Le Mans,espaceronsard,,Escalier des Ponts Neufs,72000,48.0070847,0.1970721,nominatim,approximate,Jardin Pierre de Ronsard,
Espace Saugonna,Mamers,espacesaugonna,2,Rue de la Gare,72600,48.3473279431225,0.364690218345867,manuel,exact,Saugonna,
Espace Scélia,Sargé-lès-le-Mans,espacescelia,,Rue Didier Pironi,72190,48.0357033,0.2408021,nominatim,exact,Espace culturel Scelia,
Espace Vègre et Champagne,Brûlon,espacevegreetchampagne,12,Route de Viré,72350,47.9729951575024,-0.237909585917734,manuel,exact,Salle Espace Vègre et Champagne,
Esplanade de la Maison des Arts,Le Mans,esplanademaisonarts,,,72000,48.0073849,0.1967849,nominatim,city,Le Mans,
Esplanade du Bicentenaire,Le Mans,esplanadebicentenaire,,Esplanade du Bicentenaire,72000,48.007151,0.1943517,nominatim,exact,Esplanade du Bicentenaire,
Esplanade Nelson Mandela,Le Mans,esplanadenelsonmandela,,Rue George Sand,72530,48.0149098,0.2697582,nominatim,exact,Esplanade Nelson Mandela,
"Esprit Barbara, café solidaire",Le Mans,espritbarbaracafesolidaire,,,,48.0020479,0.1959769,nominatim,approximate,L’esprit de Barbara,
EVE - Scène universitaire,Le Mans,evesceneuniversitaire,,Avenue René Laennec,72000,48.0177064,0.1610047,nominatim,exact,EVE - scène universitaire,
Ferme des Grues Rouges,Saint Saturnin,fermegruesrouges,,,72650,47.9367012395356,0.36101149503084,manuel,exact,,
FIAA Le Mans,Le Mans,fiaamans,1,Rue Gambetta,72000,48.0037566762954,0.195545433660306,manuel,exact,Centre d'art FIAA,
Forum FNAC,Le Mans,forumfnac,13,Rue Claude Blondeau,72000,48.0062680972098,0.199397984964277,manuel,exact,,
Foyer Rural,Crosmières,foyerrural,,,,47.7454115,-0.1516105,nominatim,exact,Foyer rural,
Foyer rural,Crosmières,foyerrural,,,,47.7454115,-0.1516105,nominatim,exact,Foyer rural,
Foyer rural,Thorigné sur Dué,foyerrural,,,,48.0373658,0.5338283,nominatim,city,Thorigné-sur-Dué,
Funky Toons Café,Le Mans,funkytoonscafe,,,,48.0073849,0.1967849,nominatim,city,Le Mans,
Galerie Auchan,La Chapelle-Saint-Aubin,galerieauchan,,ZAC du Moulin aux Moines,72650,48.0427746052529,0.175364573612406,manuel,exact,Aushopping Le Mans,
Gare TGV,Le Mans,garetgv,,,72000,47.9958120683416,0.192637473458077,manuel,exact,,
Gite d'Asnières,Chahaignes,giteasnieres,,,72340,47.7349692,0.5343635,nominatim,exact,Gite d'Asnieres,
Grape Bar,Le Mans,grapebar,2,Rue du Ah Ah,72000,48.0071501554739,0.191658393635702,manuel,exact,,
Guinguette,Allonnes,guinguette,,,72700,47.969283,0.1578819,nominatim,city,Allonnes,
Guinguette de la Gèmerie,Arnage,guinguettegemerie,,Rue de la Gemerie,72230,47.9426148887396,0.179810407812562,manuel,exact,,
Gymnase,Bouloire,gymnase,,,,47.9724995,0.5524301,nominatim,city,Bouloire,1
Gymnase,Montfort-le-Gesnois,gymnase,,,,48.049078,0.403157,nominatim,city,Montfort-le-Gesnois,1
Gymnase,Yvré-l'Évêque,gymnase,,,,48.0168337,0.271732,nominatim,exact,Gymnase Halle de Brou,1
Gymnase A. Fournier,Le Mans,gymnasefournier,,,,47.9867742,0.2151102,nominatim,approximate,Gymnase Alain Fournier,
Gymnase André Malraux,Allonnes,gymnaseandremalraux,,Rue de Beau Soleil,72700,47.9555768,0.167663,nominatim,exact,Gymnase André Malraux,
Hall d'Antarès,Le Mans,hallantares,2,Av. Antarès,72000,47.9562131028902,0.227167897861847,manuel,exact,,
Halles,Beaumont-sur-Sarthe,halles,,,,48.2253475,0.130943,nominatim,exact,Halles,
Halles,Château-du-Loir,halles,,,,47.6933321,0.4196319,nominatim,exact,Rue des Halles,
Halles,La Ferté-Bernard,halles,,,,48.1851826,0.6539269,nominatim,exact,Halles Denis Béalet,
Halles,Le Mans,halles,,Rue Barbier,72000,48.0038201,0.1940761,nominatim,exact,Courboulay,
Halles,Mamers,halles,,,,48.278967,0.2224094,nominatim,exact,Halles,
Hangar Créalab,Le Mans,hangarcrealab,,Rue d'Alger,72000,48.0017769,0.1931164,nominatim,exact,Hangar Crealab,
HangArt,Coulans-sur-Gée,hangart,,Route Départementale 357,72550,48.0179024,0.0083108,nominatim,exact,Hangart,
Hops Store,Saint-Saturnin,hopsstore,12,Rue des Petites Marnières,72650,48.0474175744427,0.171065926702909,manuel,exact,,
Ibis hotel du centre,Le Mans,ibishotelcentre,2,Rue du Ah Ah,72000,48.0071501554739,0.191658393635702,manuel,exact,,
Il était une fois...,Le Mans,iletaitunefois,,,,48.0073849,0.1967849,nominatim,city,Le Mans,
Île aux Planches (pont de fer),Le Mans,ileplanchespontfer,,,,47.9987015,0.1877337,nominatim,approximate,Île aux Planches,
Île de Moulinsart,Fillé,ilemoulinsart,,Rue du Canal,72210,47.8958010345319,0.127146778286207,manuel,exact,,
Ile promenade Newton,Le Mans,ilepromenadenewton,,,72000,47.9875392010773,0.220445541477132,manuel,exact,,
Itemm,Le Mans,itemm,71,Avenue Olivier Messiaen,72000,48.0146366,0.1548242,nominatim,exact,ITEMM,
