initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,,,Samedi 6,20h30,Eglise saint Brice,Courcival,Entrée libre,c,,,Concert aux chandelles,,,,,,,,,,,,,
zz,,,Samedi 6,20h,Kiosque musical,Spay,0€,c,,Elle et Ils,ch. fr. d'hier et d'aujourd'hui,,BL’OCKBAND,Bluesrock,,,,,,,,,,
jlb,,,Vendredi 12,20h,Bistro Broc Café,Changé,au chapeau,c,,Pascal Lenarth,,,,,,,,,,,,,,
ce,,,Vendredi 12,20h30,Blue Zinc,,au chapeau,c,,Underfuse,rock,,,,,,,,,,,,,
tu,,,Vendredi 12,20h,Le Lapin Blanc,,0€,c,,Azuryte,électrofolk,,,,,,,,,,,,,
jlb,,,Vendredi 19,20h,Bistro Broc Café,Changé,au chapeau,c,,Timothé & Renaud Wagenard,,,,,,,,,,,,,,
jlb,,,Vendredi 19,20h,Cour du Carroi,La Flèche,0€,c,,Liybob,Swing Reggae,,Trio Bonnin Campino Laplanche,Bal à danser,,,,,,,,,,
tu,,,Vendredi 19,20h,Le Lapin Blanc,,0€,c,,Manu K,blues,,,,,,,,,,,,,
jlb,,,Vendredi 26,20h,Bistro Broc Café,Changé,au chapeau,c,,Ghislaine & Fabrice,,,,,,,,,,,,,,
tu,,,Vendredi 26,21h,Centre Beaulieu,,5 à 15€,c,,Anja Loma & Solinca,musique et peinture en direct,,,,,,,,,,,,,
jlb,,,Vendredi 26,20h,Cour du Carroi,La Flèche,0€,c,,Des Lions pour des Lions,Rock jazz fusion,,Alpha Centauri,Electro psyché Cuivré,,,,,,,,,,
zz,,,Vendredi 26,19h,Guinguette des Tanneries,,0€,c,,Azuryte,musique pop folk 60-70,,,,,,,,,,,,,
tu,,,Vendredi 26,20h,Le Lapin Blanc,,0€,c,,Eli'Jazz,duo jazz swing,,,Jam session,,,,,,,,,,
jlb,,,Vendredi 5,20h,Bistro Broc Café,Changé,au chapeau,c,,Lolipop,,,,,,,,,,,,,,
zz,,,Vendredi 5,20h30,derrrière l'Eolienne,Arnage,0€,c,,Teklash,percussions corporelles & chants,,,,,,,,,,,,,
zz,,,Vendredi 5,19h,Guinguette des Tanneries,,0€,c,,Roda Cozinha,musique latine,,,,,,,,,,,,,
zz,,,Vendredi 5,20h,HangArt,Coulans-sur-Gée,libre,c,,Elle et Ils,ch. fr. d'hier et d'aujourd'hui,,,,,,,,,,,,,
tu,,,Vendredi 5,20h,La pince à vélo,Teloché,0€,c,,djazarad,soul pfunk,,,,,,,,,,,,,
tu,,,Vendredi 5,22h-4h,Le Barouf,,0€,c,,"Blast (ext. mix) feat. ORION, PACO RABANNE & SAM VAN DER TOURE","house, minimal, deep",,,,,,,,,,,,,
tu,,,Vendredi 5,20h,Le Lapin Blanc,,0€,c,,John Maine,rock cover,,,,,,,,,,,,,
jlb,,,Mercredi 10,20h30,Chapiteau promenade Newton,,0€,sv,Le grand bal de l’été,Cie La Piste à Dansoire,bal,,,,,,,,,,,,,
tu,,,Dimanche 7,17h,Les Moulins de Paillard,Poncé-sur-le-Loir,5€,sv,Deuxième Livre de madrigaux,Ensemble Offrandes,Création 2024,,,,,,,,,,,,,
zz,,,Jeudi 11,18h30-22h,Plaine du Ronceray,,0€,sv,,,spectacles et fanfare théatralisée,,,,,,,,,,,,,
jlb,,,Lundi 1,20h30,Comédie Le Mans,,10€,sv,,,Humour en scène,,,,,,,,,,,,,
zz,,,Samedi 20,21h15,place Saint Michel/porche Royal,,8 à 12€,sv,Les Mystères dans la Cathédrale,Cie des Gens pluriels,théatre déambulatoire,,,,,,,,,,,,,
zz,,,Samedi 27,21h15,place Saint Michel/porche Royal,,8 à 12€,sv,Les Mystères dans la Cathédrale,Cie des Gens pluriels,théatre déambulatoire,,,,,,,,,,,,,
jlb,,,Vendredi 19,18h30,Cité du cirque,,0€,sv,Sortie de résidence au Plongeoir,Cie La Contrebande,cirque,,,,,,,,,,,,,
tu,,,Vendredi 19,20h,La Fonderie,,0€,sv,Musiques d’après les poésies de Dionisio Cañas,Ensemble Offrandes & Académie des jeunes compositeurs et compositrices,mus. contemporaine,,,,,,,,,,,,,
zz,,,Vendredi 19,21h15,place Saint Michel/porche Royal,,8 à 12€,sv,Les Mystères dans la Cathédrale,Cie des Gens pluriels,théatre déambulatoire,,,,,,,,,,,,,
zz,,,Vendredi 26,21h15,place Saint Michel/porche Royal,,8 à 12€,sv,Les Mystères dans la Cathédrale,Cie des Gens pluriels,théatre déambulatoire,,,,,,,,,,,,,
