initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,,,Jeudi 9,20h30,Salle Coppélia,La Flèche,7 à 20€,sv,Gotainer ramène sa phrase,théâtre musical spectaculaire,,,,,,,,,,,,,,
tu,,,Mardi 14,18h30,Salle Jean Carmet,,2.5 à 6€,sv,De l'or au bout des doigts,Fanny Bouffort,th. d'objets +7 ans,,,,,,,,,,,,,
ce,,,Mardi 21,19h15,Blue Zinc,,au chapeau,sv,,Claire Morel,one woman show,,,,,,,,,,,,,
jlb,,,Mardi 21,20h30,Eve scène universitaire,,5 à 12€,sv,Bob et moi,Collectif Bajour,th. musical,,,,,,,,,,,,,
zz,,,Mardi 28,14h30,Salle des fêtes,Malicorne-sur-Sarthe,tnc,sv,Hors d'oeuvre d'arts,Emma Finet & Sandrine Rouault,,,,,,,,,,,,,,
tu,,,Mardi 7,20h,The Lodge,,0€,sv,,Le C'est pas vrai Comedy Club,stand-up,,,,,,,,,,,,,
jlb,Scènes Complices ,,Mercredi 15,19h,Cité du cirque,,10 à 15€,sv,Révoltes ou tentavies de l'échec,Cie les filles du renard pâle,cirque,,,,,,,,,,,,,
jlb,,,Mercredi 15,10h,Le Rabelais,Changé,4 à 6€,sv,Histoire a danser,Cie Cet Eté,jeune public,,,,,,,,,,,,,
jlb,,,Mercredi 29,20h30,Bistro Broc Café,Changé,au chapeau,sv,Soirée Dutronc Hardy,Quai de scène,,,,,,,,,,,,,,
jlb,,,Mercredi 29,20h30,Eve scène universitaire,,5 à 12€,sv,Désintegration,Cie El Ajouad,th.,,,,,,,,,,,,,
jlb,,,Samedi 11,18h30,Théâtre du Passeur,,8€,sv,Bouvard et Pécuchet,,lecture,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 11,20h,Théâtre Paul Scarron,,10 à 18€,sv,"Kessel, la liberté à tout prix",Franck Desmedt,th./Avignon off,,,,,,,,,,,,,
ce,,,Samedi 18,20h30,Blue Zinc,,au chapeau,sv,,Clément Corbiat,one man show ,,,,,,,,,,,,,
at,,,Samedi 18,20h30,Théâtre de l’Écluse,,10€ résa sms au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
jlb,,,Samedi 18,20h30,Le Rabelais,Changé,8 à 12€,sv,Les candiratons,,th. impro,,,,,,,,,,,,,
jlb,,,Samedi 18,21h,salle Mélusine,Bonnétable,5 à 8€,sv,Tais-toi François,Tréteaux de Malestable,th.,,,,,,,,,,,,,
ce,,,Samedi 25,20h30,Blue Zinc,,au chapeau,sv,,Show Drag,blind test + show,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 25,20h30,Espace Henri Salvador,Coulaines,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
at,,,Samedi 25,20h30,Théâtre de l’Écluse,,10€ résa sms au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
jlb,,,Samedi 25,20h30,L'Envol,La Bazoge,12 à 15€,sv,Legend'Eire,,danses et chants celtiques,,,,,,,,,,,,,
jlb,,,Samedi 25,18h30,Théâtre du Passeur,,8 à 10€,sv,Anonyme passager,,monologue musical,,,,,,,,,,,,,
tu,La fièvre du samedi matin,,Samedi 4,11h,La Fonderie,,0€,sv,Invitation de Bertrand Gourdy,Ensemble Offrandes,mus. contemporaine,,,,,,,,,,,,,
jlb,La Perche Productions,,Vendredi 10,21h,Les Saulnières ,,30€,sv,Pierre Thevenoux est marrant... normalement,Pierre Thevenoux ,One Man Show,,,,,,,,,,,,,
tu,,,Vendredi 17,12h,Bibliothèque Universitaire,,0€,sv,,,Club lecture par Marie-Anne Cornuel et Justine Boulet,,,,,,,,,,,,,
ce,,,Vendredi 17,20h30,Blue Zinc,,au chapeau,sv,Art dans le vide,,DJ set + expo,,,,,,,,,,,,,
bl,,,Vendredi 17,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4 à 10€,sv,L'Iliade,Cie Thespis,th.,,,,,,,,,,,,,
jlb,,,Vendredi 17,19h,Espace Henri Salvador,Coulaines,"5,5 à 8€",sv,Oh Mer,La perenne Compagnie,th.,,,,,,,,,,,,,
jlb,,,Vendredi 17,11h & 18h,L'Alambik MJC Ronceray,,5 à 7€,sv,3 pm (3 petits moments),Collectif Tutti,jeune public musique et danse,,,,,,,,,,,,,
at,,,Vendredi 17,20h30,Théâtre de l’Écluse,,10€ résa sms au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
bl,,,vendredi 17,20h30,Salle Coppélia,La Flèche,7 à 15€,sv,Rêves,Cirque ukrainien Inshi,,,,,,,,,,,,,,
jlb,Sortie de résidence,,Vendredi 24,20h,Cité du cirque,,0€,sv,,Cie Alta Gama,"cirque, porté accrobatique",,,,,,,,,,,,,
at,,,Vendredi 24,20h30,Théâtre de l’Écluse,,10€ résa sms au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Vendredi 24,20h30,Le Val de Vray,Saint-Saturnin,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
pl,,,Vendredi 24,20h,Théâtre de Chaoué,Allonnes,5/8€ ou +,sv,L’inoubliable histoire de Juliette et de son Roméo,Les Assoifées d'Azur,th.,,,,,,,,,,,,,
jlb,,,Vendredi 24,10h30 & 14h30,Théâtre du Passeur,,8 à 10€,sv,Anonyme passager,,monologue musical,,,,,,,,,,,,,
bl,,,Vendredi 24,20h30,Théâtre Épidaure,Bouloire,5 à 10€,sv,La pomme empoisonnée,Pan ! La Cie,th. à partir de 9 ans,,,,,,,,,,,,,
pl,,,Vendredi 3,16h,Bibliotheque,Savigné-l'Évêque,1 à 2€,sv,Tourne ma neige,Perenne Compagnie,,,,,,,,,,,,,,
jlb,,,Vendredi 3,20h30,Bistro Broc Café,Changé,au chapeau,c,,Virée à deux,,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,CC Le Courmesnil,Loué,4 à 10€,sv,Bob et moi,Collectif Bajour,th. musical,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,Cité du cirque,,5 à 12€,sv,Armour,Arno Ferrera & Gilles Polet,cirque +14 ans,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,Espace Saugonna,Mamers,0 à 12€,sv,Aréa jeune ballet de Genève,,Danse,,,,,,,,,,,,,
jlb,Comédie Le Mans,,Mercredi 0,,,,,c,,,https://www.16-19.fr,,,,,,,,,,,,,
jlb,La piraterie,,Mercredi 0,,,,,c,,,https://www.lacorderaide.com/agenda,,,,,,,,,,,,,
jlb,Dans l'action avec les exclus des subventions pays de la Loire,,Mercredi 0,,,,,c,,,https://convergences72.fr/,,,,,,,,,,,,,
tu,Les Inspirantes,,Mercredi 0,,,,,c,,,Du 9 au 31 janvier - https://www.quinconces-espal.com/les-inspirantes_25,,,,,,,,,,,,,
