initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Vendredi 3,21h,Chez Marcelle,,0 €,c,,olmek,vinyl,,,,,,,,,,,,,
pl,Superforma,,Jeudi 23,20h30,Salle Jean Carmet,Allonnes,15 à 22 €,c,,Orange Blossom,World,,,,,,,,,,,,,
zz,,,Vendredi 3,19h,Guinguette des Tanneries,,au chapeau,c,,Akordaïa,world guinguette,,,,,,,,,,,,,
tu,garage5,,Jeudi 2,21h,Le Lézard,,prix libre,c,,institutrice,zinzin percussif,,,,,,,,,,,,,
jlb,,,Mercredi 29,20h30,Bistro Broc Café,Changé,au chapeau,c,,Albert Rose trio,,,,,,,,,,,,,,
zz,,,Samedi 4,20h30,Salle Aimée le Prilleux,Champagné,tnc,c,Chorale ados,amusiquons nous,,,Sin Saya,,,Way,,,,,,,,
jlb,,,Samedi 25,20h30,Bistro Broc Café,Changé,au chapeau,c,,Backson,,,,,,,,,,,,,,
tu,La Fête de l'Humanité 72,"débats, concerts",Samedi 25,20h30,Maison de quartier l'Oiselière,,5 €,c,,banos & bakoua sound + Manu k + Puppa Nadem & Selecta jahdi + ..,,,,,,,,,,,,,,
zz,Prélude du 40e Festival de l'Épau,mus. Classique,Dimanche 19,16h,Abbaye de l'Epau,,0 €,c,,Choeur départemental de la Sarthe,,,,,,,,,,,,,,
jlb,,,Vendredi 10,20h30,Bistro Broc Café,Changé,au chapeau,c,,Clem't,,,,,,,,,,,,,,
zz,,,Vendredi 31,17h45,Médiathèque L. Aragon,,0 €,sv,,Cuivre junior du conservatoire,,,,,,,,,,,,,,
jlb,,,Jeudi 30,21h,Comédie Le Mans,,28 €,sv,,Dava 9,humour,,,,,,,,,,,,,
jlb,,,Mercredi 29,21h,Comédie Le Mans,,28 €,sv,,Dava 9,humour,,,,,,,,,,,,,
jlb,,,Mardi 7,20h30,Bistro Broc Café,Changé,au chapeau,c,,David Bonneville,,,,,,,,,,,,,,
jlb,,,Vendredi 17,20h30,Bistro Broc Café,Changé,au chapeau,c,,DoRéMi,,,,,,,,,,,,,,
pl,Festivals les Trad'Yvresse,boeufs et bals. Du 17 au 19,Vendredi 17,19h,Salle G. Brassens,Yvré-l'Évêque,gratuit à 17€,c,Festival Trad'Yvresses,Duo Azare,,,0cascade,,,La cuivraille,,,,,,,,
jlb,Salon De Musique,,Jeudi 16,20h,CPFI,,prix libre,sv,Voyage au Groenland,Estelle Transon,,,,,,,,,,,,,,
jlb,,,Jeudi 16,19h,Salle Coppélia,La Flèche,tnc,sv,ce qui nous noue,groupe déjà,th.,,,,,,,,,,,,,
jlb,,,Mercredi 15,18h30 & 21h,Comédie Le Mans,,28 €,sv,"Hors limite 2,0",Les hypnotiseurs,,,,,,,,,,,,,,
jlb,,,Jeudi 30,20h30,Bistro Broc Café,Changé,au chapeau,c,,Macadame,,,,,,,,,,,,,,
jlb,,,Vendredi 24,20h30,Bistro Broc Café,Changé,au chapeau,c,,Milly & Manu,,,,,,,,,,,,,,
tu,"Soirée Spectacle du collectif Nananerf,",,Jeudi 16,19h,Le Barouf,,au chapeau,sv,,MowDjo + perf' tous arts + DJ Suzy,,,,,,,,,,,,,,
zz,Prélude du 40e Festival de l'Épau,mus. Classique,Samedi 18,20h,Abbaye de l'Epau,,0 €,c,,Orchestre d'harmonie de la Sarthe + Sympho'Campus,,,,,,,,,,,,,,
zz,10ème édition des rastas du coeur,,Samedi 4,18h,Les Saulnières ,,1entrée  = 5kg de denrées alimentaire,c,,vanupie,,,derrick sound,,,kunthea,,,straxx sound system & giogio + marafanyi,,,,,
ba,Rencontres Théâtre à l'Université,du 22 au 26,Mercredi 22,,Eve,Le Mans,,sv,,,,,,,,,,,,,,,,
jlb,,,Samedi 25,20h,Salle Atlantis,Saint-Cosme-en-Vairais,gratuit,sv,Evasion musicale marine,,,,,,,,,,,,,,,
tu,40e Festival de l'Épau,Festival de mus. Classique. du 21 au 28,Mardi 21,,Abbaye de l'Epau,,0 à 35€,c,,,,,,,,,,,,,,,,
tu,Only Wax #39. les 10 ans,,Mardi 7,21h,Le Barouf,,0 €,c,,Evenn + le toub + dj vince + mounsif + la carotte,hip hop/grooves/funk/soul/disco,,,,,,,,,,,,,
jlb,5e Festival Lectures aux Animaux,manifestation littéraire consacrée aux animaux. du 17 au 19,Vendredi 17,,Logis de Moulins,Saint-Rémy-du-Val,10 à 40€,sv,,,,,,,,,,,,,,,,
