initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Mardi 27,20h,Le Barouf,,0 €,c,,Edda Bel Abysse + guest,synth pop,,,,,,,,,,,,,
zz,,,Mardi 27,20h30,Le Pâtis,,tnc,c,,,Jam par l'INM,,,,,,,,,,,,,
bl,Festival Malices au Pays du Loir,,Mardi 27,10h30 & 15h,Salle Coppélia,La Flèche,4 €,sv,L'ogre en papier,Ben Herbert Larue,chanson à grande bouche pour petites oreilles,,,,,,,,,,,,,
tu,Superforma,,Mardi 6,18h30,Les Saulnières ,,6 à 11 €,c,,la fontaine unplugged,chanson,,,,,,,,,,,,,
tu,Garage5,,Mercredi 14,20h30,Le Lézard,,prix libre,c,,Tzii,vapor dub,,Catherine Danger,triphop dub,,,,,,,,,,
ce,Association Tempo,,Mercredi 21,20h,Blue Zinc,,au chapeau,c,,,Scène ouverte + Jam,,,,,,,,,,,,,
tu,,,Mercredi 21,21h,Le Lézard,,0 €,c,,Sergueï spoutnik,électro/le mans,,apollo noir,électro/Auvergne,,,,,,,,,,
ce,,,Mercredi 28,19h30,Blue Zinc,,au chapeau,c,,,Apéro Chansons (Scène ouverte),,,,,,,,,,,,,
ce,,,Mercredi 7,20h,Blue Zinc,,au chapeau,c,,,Boeuf Bal Folk (danse & concert),,,,,,,,,,,,,
tu,,,Mercredi 7,21h,Le Zoo,,au chapeau,c,,Jam St Co Musicos,jam session,,,,,,,,,,,,,
zz,,,Samedi 10,20h,Boire du bon,Saint-Pavace,10 €,c,,Albahaca duo,jazz,,,,,,,,,,,,,
ba,,,Samedi 10,14h,Eve scène universitaire,Le Mans,0 €,c,,Sympho'Campus,Orchestre symphonique de l'université,,,,,,,,,,,,,
tu,Superforma,,Samedi 10,20h,L'Oasis,,20 à 24 €,c,,tsew the kid,pop rap,,LAPOSTROZ,rap,,,,,,,,https://superforma.fr/agenda/tsew-kid-lapostroz,,
jlb,Festival diverscènes / Pirate Party,,Samedi 10,20h00,La piraterie,,tnc,c,,DJ Prosper,musique,,,,,,,,,,,,,
tu,,,Samedi 10,21h,Le Guet à Pintes,,0 €,c,,C4,punk rock,,,,,,,,,,,,,
tu,,,Samedi 10,21h,Le Zoo,,au chapeau,c,,Bonhome Tétard,ch. fr.,,,,,,,,,,,,,
zz,,,Samedi 10,19h,Restaurant l'Eternel,La Fontaine-Saint-Martin,0 €,c,,Ernesto Molrallès Trio,chansons swing,,,,,,,,,,,,,
