"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"JLB",,,"Samedi 1","18h30","Théâtre du Passeur",,"8 à 10€","sv","La Nostalgie des Blattes",,"théâtre",,,,,,,,,,
"zz",,,"Samedi 15","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Sweet Cover","Chansons",,,,,,,,,,
"ce",,,"Samedi 15","21h","Blue Zinc",,"au chapeau","c",,"Zordonn",,"Set hip hop",,,,,,,,,
"TU","La soirée Karaoké",,"Samedi 15","21h","Brasserie Septante Deux",,"prix libre","c",,"Amitié Chanson Prod","ouvert à tous",,,,,,,,,,
"AT",,,"Samedi 15","18H30","Cirque Mimulus","Fresnay-sur-Sarthe","5/8€ apéro offert","sv","Gustave, jongleur à 2 balles","Cie La Rue Till","Jonglerie théâtrale",,,,,,,"https://www.mimulus.fr/evenements",,,
"TU",,,"Samedi 15","20h30","Comédie Le Mans",,"tnc","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"TU",,,"Samedi 15","22h22","Gare TGV","Sablé-sur-Sarthe","2.000.000€","sv","Rends l'argent","F. FIllon","drame fiscal",,,,,,,,,,
"TU","Color Riso Crew",,"Samedi 15","13h","Hangar Créalab",,"0€","sv","expo/vente d’impression en risographie","collectif éticc",,,,,,,,,,,
"AT",,,"Samedi 15","20h30","L'Envol ","La Bazoge","7/15€","c",,"LES GLAM'S & MISTER Ô","jazz",,,,,,,,,,
"ce",,,"Samedi 15","19h","L'ÎlotCo",,,"sv","Festival d'Automne",,"concert et banquet",,,,,,,,,,
"TU","Ciné-échange",,"Samedi 15","20h","Les Cinéastes",,"tnc","sv","Une époque sans esprit","Roland Gari",,,,,,,,"https://www.les-cineastes.fr/evenements/cine-echange-en-attendant-la-fete-un-reveillon-en-psychiatrie/",,,
"TU","Journées Nationales d'Architecture",,"Samedi 15","18h","Moulin du Blaireau","Piacé","0€","c",,"Sophie Agnel","chordophone",,,,,,,"https://vimeo.com/523385389",,,
"TU",,,"Samedi 15","18h","Place de l'Eglise","Montfort-le-Gesnois","0€","c",,"Daisiesfields","pop nomade",,,,,,,"https://www.daisiesfields.fr/","https://www.youtube.com/watch?v=n7i-Y_MrUV4",,
"TU",,,"Samedi 15","20h30","Place de l'Eglise","Montfort-le-Gesnois","0€","sv","Arrêts sur Images","Cie Jamais 203","Ciné-spectacle documentaire déambulatoire",,,,,,,"https://ciejamais203.com/spectacles/arrets-sur-images/",,,
"TU","24H Piano #6 ""Vers L'extase""",,"Samedi 22","15h","Beaux-Arts",,"12 à 24€","c",,"Pianoctambule",,,,,,,,,,,
"zz",,,"Samedi 22","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Music'All & Cie","Balades anglaises & années 80 à aujourd'hui",,,,,,,,,,
"ce",,,"Samedi 22","21h à 01h","Blue Zinc",,"0€","c",,"Back to 90-2000's",,,,,,,,,,,
"TU",,,"Samedi 22","20h30","Comédie Le Mans",,"tnc","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"zz",,,"Samedi 22","20h","Le Val’Rhonne","Moncé-en-Belin","20€","c",,"Soirée lindy hop et concert avec le Jazz Band ""Revenant Juke""","danse et concert",,,,,,,,,,
"zz",,,"Samedi 22","16h","Salle G. Brassens","Yvré-l'Évêque","3,5 à 5€","sv","Mioba","Cie Fais pas ci fais pas ça","spectacle tout public",,,,,,,,,,
"zz",,,"Samedi 29","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Olivia Deschamps","Chansons françaises revisitées",,,,,,,,,,
"ce",,,"Samedi 29","21h","Blue Zinc",,"au chapeau","c",,"DJ Prosper","Disco funk déjanté",,,,,,,,,,
"TU","Garage 5",,"Samedi 29","20h30","Le Lézard",,"prix libre","c",,"Modern Men","Punk/Industrial Pop","Guest",,,,,,"https://sozalabel.bandcamp.com/album/modern-men-eaux-saines-split",,,
"zz",,,"Samedi 29","15h","Le Val’Rhonne","Moncé-en-Belin","0€","c",,"Les Zelectrons Frits","Concert jeune public",,,,,,,,,,
