initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,Rentrée du Plongeoir,,Vendredi 15,15h,Chapiteau promenade Newton,,0 €,sv,Masacrade,cie Marcel et ses drôles de femmes,voltige aérienne,Lueur,Cirque de la Guirlande,cirque,With or without you,Ésacto’Lido promotion 2020-2023,cirque,,,,,,,
tu,,,Vendredi 15,21h30,Chez Marcelle,,0 €,c,,aylo,disco funk/house/tech house,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Vendredi 15,19h30,Cité du cirque,,5 à 12€,sv,La croûte de rentrée,cie Defracto,jonglage,,,,,,,,,,,,,
tu,,,Vendredi 15,20h,Il était une fois,La Chapelle-Saint-Fray,au chapeau,c,,Storm in space,rock,,,,,,,,,,,,,
zz,Circuits #12,musiques ludiques,Vendredi 15,,L'Austral,,au chapeau,c,,Collectif 3h10,kermesse guitare,,,,,,,,,,,,,
tu,,,Vendredi 15,20h,Le Lapin Blanc,,0 €,c,,Paul,rock cover,,,,,,,,,,,,,
zz,,,Vendredi 15,20h30,Musée de Tessé,,tnc,sv,Silberdistel,Création Offrandes,musique classique,,,,,,,,,,,,,
tu,,,Vendredi 15,20h,Parc de la mairie,Cures,0 €,c,,Bout de rames,mus. irlandaise,,,,,,,,,,,,,
ce,,,Vendredi 15,19h ,Théâtre Paul Scarron,,0 €,sv,Mondial Placard,Le théätre du Fracas,,,,,,,,,,,,,,
ce,,,Vendredi 22,21h,Blue Zinc,,au chapeau,c,,Les Kankres,pop rock,,,,,,,,,,,,,
zz,,,Vendredi 22,20h30,Brasserie Septante Deux,,prix libre,c,,Raoul Vignal,folk/lyon,,Rapt,folk/uk,,,,,,,,,,
ce,,,Vendredi 22,20h,Chapelle de l'Oratoire,Le Mans,10 €,c,,Alok & Abhisek Lahiri,mus. indienne/duo sarod,,Parthasarathi Mukherjee,tabla,,,,,,,,https://superforma.fr/mediator/concert-de-musique-indienne-la-chapelle-de-l-oratoire,,
tu,,,Vendredi 22,21h30,Chez Marcelle,,0 €,c,,Gio Gio,disco funk,,,,,,,,,,,,,
jl,,,Vendredi 22,19h30,La Fonderie,,prix libre,sv,Par Autan,François Tanguy & le Théatre du Radeau,th. poétique et cocasse,,,,,,,,,,,,,
ce,Ouverture de saison,,Vendredi 22,à partir de 19h,Le Val’Rhonne,Moncé-en-Belin,0€ s/résa,sv,So Bigger...,Aroze...,tout public,,,,,,,,,,,,,
tu,,,Vendredi 22,21h,Le Zoo,,au chapeau,c,,Jobene,rock,,,,,,,,,,,,,
zz,,,Vendredi 22,20h30,Les Saulnières ,,8 & 12€,sv,Regarde moi dans les yeux pendant 4 minutes,collectif Grand maximum,,,,,,,,,,,,,,
ce,,,Vendredi 29,21h ,Blue Zinc,,au chapeau,c,,Kristel & La Douille,Rock,,,,,,,,,,,,,
at,Festival de théâtre amateur,,Vendredi 29,19h,Espace Scélia,Sargé-lès-le-Mans,0 €,sv,Un drôle de cadeau,Cie Les Décalcomédies,,,,,,,,,,,,,,
zz,,,Vendredi 29,18h30,Guinguette des Tanneries,,au chapeau,c,,Strum,pop rok reggae,,,,,,,,,,,,,
ce,Ouverture de saison,,Vendredi 29,20h,La Castélorienne,Montval-sur-Loir,0 €,sv,Qu'est-ce que le théâtre ?,,conférence loufoque,,,,,,,,,,,,,
tu,Moth Frequency,,Vendredi 29,20h30,Le Lézard,,au chapeau,c,,Sycomore,sludge/amiens,,MÅNGRØVE,post rock,,,,,,,,,,
tu,,,Vendredi 29,21h,Le Zoo,,au chapeau,c,,Eclipse,reprises pop rock,,,,,,,,,,,,,
at,,,Vendredi 8,19h30,Bar l'Olivier,,prix libre,c,,Sandra caroll et Mat Mathis,"soul, blues, gospel",,,,,,,,,,,,,
ce,,,Vendredi 8,21h,Blue Zinc,,au chapeau,c,,Ineige,pop  ,,,,,,,,,,,,,
ce,Jazz à Roussigny,,Vendredi 8,20h,Centre mus.Roussigny,Saint-Ulphace,10 €,c,,Jean-Pierre Derouard Orchestre,Hommage à Louis Armstrong,,,,,,,,,,,,,
tu,,,Vendredi 8,21h30,Chez Marcelle,,0 €,c,,bunzen,bass music/techno/house italo,,,,,,,,,,,,,
ce,Open the Gates #1,,Vendredi 8,à partir de 18h,Île aux Planches,,0 €,c,,Almä Mango,hip hop tropical,,Klem H,electro pop,,Hrvley Qveen,rap,,Liloow,rap,Heidi ,https://superforma.fr/mediator/festival-open-gates-1,,
tu,,,Vendredi 8,21h,Le Zoo,,au chapeau,c,,Azuryte,folk/pop,,,,,,,,,,,,,
at,Forever young #3 du 26/09 au 30/09,"concerts, expo, jeux",Mardi 26,,partout en ville,Le Mans,0 €,sv,,,,,,,,,,,,,,,,
