date|event

19|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Tais-toi François"</strong> Tréteaux de Malestable <em>(th.)</em></span><br>&nbspSalle Mélusine Bonnétable, <br>&nbsp15h, 5 à 8€</p>

19|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"A quelle heure on ment"</strong> Les Joyeux de l'Escotais <em>(th.)</em></span><br>&nbspLa Castélorienne Montval-sur-Loir, <br>&nbsp16h, 4 à 8€</p>

19|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp16h, 12 à 15€</p>

21|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Claire Morel</strong> <em>(one woman show)</em></span><br>&nbspBlue Zinc <br>&nbsp19h15, au chapeau</p>

21|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Bob et moi"</strong> Collectif Bajour <em>(th. musical)</em></span><br>&nbspEve scène universitaire <br>&nbsp20h30, 5 à 12€</p>

22|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Tempo // <strong> Scène ouverte + jam</strong></span><br>&nbspBlue Zinc <br>&nbsp20h, au chapeau</p>

22|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LOUIS</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

22|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LA FRANGE</strong> <em>(folk/paris)</em></span><br>&nbspBrasserie Septante Deux <br>&nbsp20h30, prix libre</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>THÉO ZIPPER EN CONCERT</strong> <em>(3)</em></span><br>&nbspLes Allumés du jazz <br>&nbsp19h, 0€</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BIPOLAR CLUB</strong> <em>(rock)</em><strong> + COLLECTIF VMC</strong> <em>(dj set electro)</em></span><br>&nbspBlue Zinc <br>&nbsp20h - 22h, au chapeau</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">La nuit de la lecture // <strong>CONCERT MUSIQUE DE CHAMBRE</strong></span><br>&nbspBibliothèque universitaire <br>&nbsp20h30, 0€</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>PAMPLEMOUSSE</strong> <em>(noise rock/la réunion)</em><strong> + DARIA</strong> <em>(indie rockangers)</em><strong> + TURBO PANDA</strong> <em>(emo punk noise/le snam)</em></span><br>&nbspLe Barouf <br>&nbsp20h30, 0€</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Garage5 // <strong>JOHANN MAZÉ</strong> <em>(solo batterie)</em></span><br>&nbspLe Lézard <br>&nbsp20h30, prix libre</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Superforma fête ses 10 ans // <strong>IRREVERSIBLE ENTANGLEMENTS</strong> <em>(free cosmic jazz)</em><strong> + KHAM MESLIEN TRIO</strong> <em>(blues/jazz)</em></span><br>&nbspLes Saulnières  <br>&nbsp20h30, 10 à 17€</p>

23|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa sms au 07 81 84 35 62</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LES ENJOLIVEUSES</strong> <em>(chanson fr)</em><strong> + TITO NABAT</strong> <em>(ch. fr.)</em></span><br>&nbspLe Val’Rhonne Moncé-en-Belin, <br>&nbsp19h, 0 à 10€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>PAUL & FRIENDS</strong> <em>(blues rock)</em></span><br>&nbspL'Olivier <br>&nbsp19h30, 0€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Salon De Musique // <strong>MARIA KANAVAKI &  CHRISTOS PAVLIS</strong> <em>(polyrythmies grecques)</em></span><br>&nbspCPFI <br>&nbsp20h, prix libre</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BURGER AIRPORT</strong> <em>(funk jazz fusion)</em></span><br>&nbspLe Pilier Rouge <br>&nbsp20h, au chapeau</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BRUNO ET JACKY</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

